Rank,Player_Name,Position,Team,Age,Birth_Year,Matches_Played,Matches_Started,Minutes_Played,Ninety_Minute_Equivalents,Goals,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Goals,Penalty_Attempts,Yellow_Cards,Red_Cards,Player_ID,Assists_Per_90,Goal_Contributions_Per_90,Goals_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goal_Contributions_Per_90
500,Fabian Schär,DF,ch Switzerland,22.0,1991,2,2,210,2.3,0,0,0,0,0,0,0,0,c8aa95da,0.0,0.0,0.0,0.0,0.0
501,Morgan Schneiderlin,MF,fr France,24.0,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,51b41c5c,0.0,0.0,0.0,0.0,0.0
502,André Schürrle,FW,de Germany,23.0,1990,6,0,249,2.8,3,1,4,3,0,0,0,0,ecbb3fdf,0.36,1.45,1.08,1.08,1.45
503,Bastian Schweinsteiger,DF,de Germany,29.0,1984,6,5,505,5.6,0,0,0,0,0,0,2,0,ccc22fea,0.0,0.0,0.0,0.0,0.0
504,Haris Seferović,FW,ch Switzerland,22.0,1992,4,1,141,1.6,1,0,1,1,0,0,0,0,a45eac1f,0.0,0.64,0.64,0.64,0.64
505,Philippe Senderos,DF,ch Switzerland,29.0,1985,1,0,82,0.9,0,0,0,0,0,0,0,0,b1d82fc2,0.0,0.0,0.0,0.0,0.0
506,Hwang Seok-ho,DF,kr Korea Republic,24.0,1989,1,0,19,0.2,0,0,0,0,0,0,0,0,5b66c012,0.0,0.0,0.0,0.0,0.0
507,Kim Seung-gyu,GK,kr Korea Republic,23.0,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,eabaafa6,0.0,0.0,0.0,0.0,0.0
508,Xherdan Shaqiri,FW,ch Switzerland,22.0,1991,4,4,386,4.3,3,0,3,3,0,0,0,0,6421ec64,0.0,0.7,0.7,0.7,0.7
509,Oleg Shatov,FW,ru Russia,23.0,1990,3,3,206,2.3,0,0,0,0,0,0,1,0,8ce063f9,0.0,0.0,0.0,0.0,0.0
510,Luke Shaw,DF,eng England,18.0,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,9c94165b,0.0,0.0,0.0,0.0,0.0
511,Kim Shin-wook,FW,kr Korea Republic,26.0,1988,2,1,99,1.1,0,0,0,0,0,0,0,0,a28c86c0,0.0,0.0,0.0,0.0,0.0
